t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
89,-0.5,0.30819645996668193,0.3139670220398846,0.7,0.29484628720734096,A,B,0.8292443007724016,0.1707556992275983,2.4401404647730143,0.8598595352269859
90,-0.5,0.2677866369683478,0.3058273518194857,0.6923076923076923,0.294811276747692,A,B,0.8289278906075479,0.17107210939245204,2.439024003898734,0.860975996101266
91,1.0,0.3043973051199304,0.31276907830129086,0.6956521739130435,0.29477305432729267,B,B,0.7507014734787293,0.2492985265212706,2.201178493667778,1.0988215063322222
92,-0.5,0.2641774398639338,0.30464138751827796,0.6881720430107527,0.2947370448932758,A,B,0.828881617044806,0.1711183829551939,2.4388608639311578,0.8611391360688424
93,-0.5,0.22596856787073713,0.29659497364309517,0.6808510638297872,0.2947058173300216,A,B,0.8285665186400832,0.1714334813599168,2.437750897052812,0.8622491029471884
94,-0.5,0.18967013947720027,0.28862902390666423,0.6736842105263158,0.2946784940936614,A,B,0.5216010559114418,0.4783989440885582,1.6932290197596247,1.6067709802403751
95,-0.5,0.15518663250334025,0.28074273366759755,0.6666666666666666,0.2946552111018847,A,B,0.8279399711325117,0.17206002886748822,2.43554861607799,0.8644513839220104
96,1.0,0.19742730087817323,0.28793530633092157,0.6701030927835051,0.29462865258420334,B,B,0.827628620555303,0.172371379444697,2.434456597960902,0.8655434020390982
97,-0.5,0.16255593583426456,0.28005595326761235,0.6632653061224489,0.2946071095024967,A,B,0.7210825610649297,0.27891743893507026,2.124918909800493,1.1750810901995075
98,-0.5,0.12942813904255132,0.27225539373493624,0.6565656565656566,0.2945882683778651,A,B,0.5204603331648343,0.47953966683516563,1.6909435298697275,1.6090564701302728
99,1.0,0.17295673209042375,0.27953283979758686,0.66,0.2945638057828662,B,B,0.24192046971630266,0.7580795302836973,1.078910366625237,2.221089633374763
100,1.0,0.21430889548590254,0.286737511399611,0.66,0.2945338403070765,B,B,0.16549504336708554,0.8345049566329145,0.8410512810983932,2.458948718901607
101,1.0,0.2535934507116074,0.2938701362856149,0.66,0.29450161236734673,B,B,0.1232603037882098,0.8767396962117903,0.6690441367231851,2.6309558632768146
102,1.0,0.290913778176027,0.30093143492275876,0.67,0.2944646209334036,B,B,0.12347325856903058,0.8765267414309694,0.6700286947935403,2.6299713052064595
103,1.0,0.3263680892672256,0.3079221205735312,0.67,0.2944205313312851,B,B,0.12368354009472884,0.8763164599052712,0.6709994630737235,2.6290005369262763
104,1.0,0.3600496848038643,0.31484289936779586,0.68,0.2943673407287281,B,B,0.12389116700052019,0.8761088329994798,0.6719565864653217,2.6280434135346784
105,-0.5,0.31704720056367103,0.3066944703741179,0.67,0.2943215265269304,A,B,0.365594855555083,0.6344051444449171,1.3744189944020775,1.9255810055979223
106,1.0,0.35119484053548744,0.3136275256703767,0.67,0.2942695164228988,B,B,0.1238547457281459,0.8761452542718542,0.6717887904929468,2.6282112095070533
107,1.0,0.383635098508713,0.32049125041367293,0.68,0.29421265024146215,B,B,0.1240602006571603,0.8759397993428397,0.6727347853002021,2.627265214699798
108,1.0,0.41445334358327734,0.3272863379095362,0.68,0.2941498726942542,B,B,0.12426303683193479,0.8757369631680652,0.673667404091565,2.626332595908435
109,-0.5,0.36873067640411344,0.3190134745304408,0.68,0.2940946724843173,B,A,0.11978441845594551,0.8802155815440544,0.6527633788766142,2.647236621123386
110,-0.5,0.3252941425839077,0.31082333978513643,0.68,0.2940481207032452,B,A,0.11954847316714967,0.8804515268328503,0.651643523883367,2.648356476116633
